函館,hakodate,140.726413,41.773709,北海道
五稜郭,goryoukaku,140.733539,41.803557,北海道
桔梗,kikyou,140.722952,41.846457,北海道
大中山,oonakayama,140.71358,41.864641,北海道
七飯,nanae,140.688556,41.886971,北海道
新函館北斗,shinhakodatehokuto,140.646525,41.9054,北海道
仁山,niyama,140.635183,41.930011,北海道
大沼,oonuma,140.669347,41.971954,北海道
大沼公園,oonumakouen,140.669758,41.980958,北海道
赤井川,akaigawa,140.642678,42.003267,北海道
駒ケ岳,komagadake,140.610476,42.038809,北海道
池田園,ikedenen,140.700333,41.990692,北海道
流山温泉,nagareyamaonsen,140.716358,42.003483,北海道
銚子口,choushiguchi,140.720656,42.015471,北海道
鹿部,shikabe,140.771393,42.06439,北海道
渡島沼尻,oshimanumajiri,140.747596,42.10706,北海道
渡島砂原,oshimasunahara,140.689451,42.12164,北海道
掛澗,kakekan,140.64598,42.119205,北海道
尾白内,oshironai,140.613449,42.111232,北海道
東森,higashimori,140.59353,42.106823,北海道
森,mori,140.573846,42.108917,北海道
石谷,ishitani,140.506525,42.135519,北海道
本石倉,honishigura,140.471957,42.159668,北海道
石倉,ishikura,140.458436,42.17285,北海道
落部,otoshibe,140.420755,42.187617,北海道
野田生,nodaoi,140.37586,42.217104,北海道
山越,yamagoe,140.326593,42.231172,北海道
八雲,yakumo,140.273342,42.253391,北海道
山崎,yamazaki,140.274600,42.314635,北海道
黒岩,kuroiwa,140.288173,42.368296,北海道
国縫,kunnui,140.320885,42.439319,北海道
中ノ沢,nakanosawa,140.346077,42.477928,北海道
長万部,oshamambe,140.37507,42.512477,北海道
二股,futamata,140.320821,42.575869,北海道
黒松内,kuromatsunai,140.305704,42.669608,北海道
熱郛,neppu,140.375084,42.675653,北海道
目名,mena,140.465742,42.761432,北海道
蘭越,rankoshi,140.52894,42.804542,北海道
昆布,kombu,140.596107,42.797984,北海道
ニセコ,niseko,140.684588,42.808746,北海道
比羅夫,hirafu,140.722615,42.84856,北海道
倶知安,kucchan,140.745471,42.90164,北海道
小沢,ozawa,140.677657,42.97185,北海道
銀山,ginzan,140.715321,43.040888,北海道
然別,shikaribetsu,140.737211,43.12551,北海道
仁木,niki,140.770546,43.154091,北海道
余市,yoichi,140.794686,43.186558,北海道
蘭島,ranshima,140.854643,43.19651,北海道
塩谷,shiodani,140.924546,43.202406,北海道
小樽,otaru,140.993653,43.197172,北海道
南小樽,minamiotaru,141.007883,43.186529,北海道
小樽築港,otaruchikkou,141.029051,43.180752,北海道
朝里,asari,141.063923,43.176868,北海道
銭函,zenibako,141.159868,43.143403,北海道
ほしみ,hoshimi,141.191402,43.13373,北海道
星置,hoshioki,141.210856,43.132375,北海道
稲穂,inaho,141.222919,43.128115,北海道
手稲,teine,141.243785,43.120238,北海道
稲積公園,inetsumikouen,141.257113,43.112023,北海道
発寒,hassamu,141.277273,43.099819,北海道
発寒中央,hassamuchuuou,141.294497,43.089271,北海道
琴似,kotoni,141.307418,43.081599,北海道
桑園,souen,141.332036,43.070744,北海道
札幌,sapporo,141.350768,43.068612,北海道
苗穂,naebo,141.377522,43.068574,北海道
白石,shiraishi,141.413612,43.054715,北海道
厚別,atsubetsu,141.46369,43.045154,北海道
森林公園,shinrinkouen,141.481332,43.056456,北海道
大麻,taima,141.496925,43.072382,北海道
野幌,nopporo,141.52984,43.092559,北海道
高砂,takasago,141.540752,43.100084,北海道
江別,ebetsu,141.55679,43.110189,北海道
豊幌,toyohoro,141.62466,43.136446,北海道
幌向,horomui,141.655839,43.151348,北海道
上幌向,kamihoromui,141.715391,43.18183,北海道
岩見沢,iwamizawa,141.759359,43.204201,北海道
峰延,minenobu,141.814673,43.264694,北海道
光珠内,koushunai,141.844655,43.292658,北海道
美唄,bibai,141.862157,43.330751,北海道
茶志内,chashinai,141.87336,43.369842,北海道
奈井江,naie,141.889115,43.423718,北海道
豊沼,toyonuma,141.901032,43.464224,北海道
砂川,sunagawa,141.909642,43.493468,北海道
滝川,takikawa,141.900807,43.555278,北海道
江部乙,ebeotsu,141.935937,43.627564,北海道
妹背牛,moseushi,141.966591,43.690841,北海道
深川,fukagawa,142.041642,43.721021,北海道
納内,osamunai,142.130072,43.732509,北海道
伊納,iosame,142.27167,43.763305,北海道
近文,chikabumi,142.325327,43.789193,北海道
旭川,asahikawa,142.357803,43.763492,北海道
